drug,codrug,Evidence_level,Clinical_significance,Management_option,level_1_atc_drug,level_1_atc_codrug,ATC_vector
C02KX05,G04BE03,dokumenteret,udtalt,1,C,G,C02KX05_G04BE03
N06DX02,J05AG03,begrænset dokumenteret,udtalt,1,N,J,J05AG03_N06DX02
G03AA11,N03AX11,dokumenteret,moderat,1,G,N,G03AA11_N03AX11
N02CA52,J05AR14,ringe dokumenteret,uafklaret,1,N,J,J05AR14_N02CA52
J05AR09,J04AB02,ringe dokumenteret,uafklaret,1,J,J,J04AB02_J05AR09
J05AR22,G04CA01,ringe dokumenteret,mulig,1,J,G,G04CA01_J05AR22
J05AG04,J05AE09,begrænset dokumenteret,udtalt,1,J,J,J05AE09_J05AG04
J05AP02,N06AX25,ringe dokumenteret,mulig,1,J,N,J05AP02_N06AX25
N03AA02,J05AR22,ringe dokumenteret,uafklaret,1,N,J,J05AR22_N03AA02
N03AA02,J05AR14,ringe dokumenteret,uafklaret,1,N,J,J05AR14_N03AA02
J05AR22,N03AF01,ringe dokumenteret,uafklaret,1,J,N,J05AR22_N03AF01
N03AA02,V03AX03,ringe dokumenteret,uafklaret,1,N,V,N03AA02_V03AX03
G03FA14,J05AR10,veldokumenteret,mulig,1,G,J,G03FA14_J05AR10
G03DB08,N03AF01,veldokumenteret,moderat,1,G,N,G03DB08_N03AF01
G03FB08,J05AE03,veldokumenteret,mulig,1,G,J,G03FB08_J05AE03
N03AA02,G03AA11,begrænset dokumenteret,moderat,1,N,G,G03AA11_N03AA02
N05CD05,J05AP53,dokumenteret,udtalt,1,N,J,J05AP53_N05CD05
G03DA02,N06AX25,veldokumenteret,moderat,1,G,N,G03DA02_N06AX25
J05AP09,N03AF01,dokumenteret,udtalt,1,J,N,J05AP09_N03AF01
J05AR18,C10BA02,ringe dokumenteret,uafklaret,1,J,C,C10BA02_J05AR18
N05CD08,J05AP02,dokumenteret,udtalt,1,N,J,J05AP02_N05CD08
